critic_loss,generator_loss,wasserstein,real_score,fake_score,gp
-0.9502078,-0.41282964,1.0100088,1.393507,0.38349813,0.0059801005
-0.88332427,-0.31548855,0.9529213,1.348939,0.39601767,0.0069597005
-0.90770715,-0.39165315,0.9574243,1.3526986,0.39527428,0.0049717133
-0.77535796,-0.45819604,0.8825666,1.3088155,0.4262489,0.010720859
-0.8465963,-0.29293925,0.9224245,1.4599364,0.5375119,0.0075828177
-0.9617583,-0.38485867,1.0451128,1.4129624,0.36784953,0.008335453
-0.9277889,-0.4395935,1.0321821,1.4807856,0.4486035,0.0104393205
-0.72955203,-0.3752553,0.8192341,1.2725036,0.45326954,0.0089682015
-1.0414109,-0.31702685,1.1165017,1.5085205,0.3920188,0.007509077
-1.0624613,-0.33461386,1.2050631,1.5061424,0.30107933,0.01426019
-1.0111706,-0.22942641,1.0829444,1.2626655,0.17972115,0.0071773725
-0.98265797,-0.19614887,1.0831916,1.3253719,0.2421802,0.010053366
-0.936148,-0.18877289,1.0363309,1.2444128,0.20808187,0.010018293
-0.8833819,-0.2443799,0.9759395,1.2388352,0.26289567,0.009255759
-0.9526037,-0.2375028,1.0293905,1.2781658,0.24877532,0.007678674
-0.96131456,-0.25081426,1.0489416,1.3125653,0.26362368,0.008762705
-0.96233976,-0.12215735,1.0558912,1.2586187,0.2027276,0.009355139
-0.94178617,-0.06359883,1.0583546,1.2286079,0.17025325,0.011656841
-0.9409515,-0.1581442,1.0558602,1.3126457,0.2567855,0.011490863
-0.7663407,-0.0948414,0.8732407,1.0059389,0.13269815,0.010690003
-0.93039775,0.02568321,1.0188843,1.1260669,0.10718263,0.008848652
-0.91675264,-0.0878006,1.0360625,1.0839844,0.0479219,0.0119309835
-0.8000174,-0.11084805,0.89518434,1.1146637,0.21947937,0.009516694
-0.93531257,-0.09666414,1.019257,1.0396309,0.020373926,0.00839444
-0.8913115,-0.16098079,0.9974496,1.1374247,0.13997512,0.010613805
-0.8897254,-0.1582534,0.977775,1.2514188,0.27364385,0.008804957
-1.0536414,-0.13243714,1.1658994,1.2852957,0.11939629,0.0112257935
-0.9927179,-0.09535441,1.0987005,1.2731905,0.17448995,0.010598261
-1.014056,-0.24478364,1.0923951,1.2114048,0.11900967,0.007833904
-0.8969203,-0.15342177,0.94882977,1.1410794,0.19224964,0.0051909434
-1.166089,-0.11919759,1.235914,1.400895,0.16498095,0.0069824997
-1.1990986,-0.13454475,1.2592686,1.3978344,0.13856573,0.0060169995
-1.0346864,-0.26551414,1.1378145,1.3133907,0.17557615,0.010312803
-0.9055145,-0.25426883,0.98061377,1.1449791,0.16436534,0.007509927
-0.9965663,-0.14709139,1.0781311,1.3134471,0.23531601,0.008156479
-1.0074158,-0.018998243,1.0950627,1.2221339,0.12707111,0.008764701
-1.200587,-0.18816282,1.2806203,1.4266059,0.14598556,0.008003336
-0.93077856,-0.31757838,0.99665034,1.2697935,0.2731432,0.006587177
-0.94654953,-0.24635574,1.0419571,1.2688787,0.2269215,0.009540759
-1.264937,-0.3498169,1.3479581,1.5821095,0.23415142,0.0083021065
-1.1242393,-0.32973027,1.2061019,1.4752555,0.2691536,0.008186258
-1.0509163,-0.26944292,1.1535919,1.3906697,0.23707785,0.010267556
-1.0976427,-0.29757312,1.1628052,1.2919347,0.12912951,0.0065162545
-0.9088182,-0.24943455,0.98087776,1.1935651,0.21268737,0.007205956
-1.0682738,-0.29912782,1.1381087,1.4369832,0.29887456,0.0069834907
-0.96093756,-0.3024947,1.0610787,1.3824829,0.32140422,0.01001411
-1.0404363,-0.27243894,1.1501312,1.433424,0.28329274,0.010969499
-1.0348507,-0.20418696,1.1296377,1.4172847,0.28764698,0.009478701
-0.86644244,-0.22673117,0.9973219,1.3100331,0.31271118,0.013087945
-0.88594484,-0.15591122,0.97230667,1.1857076,0.21340089,0.008636179
-0.99212116,-0.18847676,1.1045263,1.1224285,0.01790224,0.011240512
-1.007545,-0.06835294,1.1353031,1.3090707,0.1737676,0.01277581
-1.0000107,-0.19309857,1.0878692,1.1651473,0.07727814,0.008785842
-1.1038895,-0.033937648,1.1481984,1.1783557,0.030157298,0.004430891
-1.0821828,-0.088302486,1.1470801,1.2186072,0.07152712,0.006489725
-1.0442436,-0.058246806,1.1914117,1.2635231,0.07211142,0.014716823
-0.9102964,-0.12876555,1.0069966,1.0838616,0.07686494,0.009670026
-1.1590699,-0.11814808,1.2861404,1.2942024,0.008062064,0.012707051
-1.1740009,-0.19370121,1.2883259,1.3121935,0.023867598,0.011432504
-0.89366186,-0.118607625,0.99969065,1.1585169,0.15882625,0.010602878
-1.1631424,-0.06555351,1.2388299,1.408733,0.16990316,0.007568739
-1.0416274,-0.1480647,1.137586,1.3169507,0.17936465,0.009595864
-1.0521777,-0.15521143,1.141469,1.2173827,0.07591367,0.00892913
-1.0502852,0.0057398435,1.1296964,1.1974993,0.06780292,0.007941119
-0.9897264,-0.13529566,1.1123017,1.1920364,0.07973473,0.012257528
-1.0007689,-0.10481739,1.102012,1.2344954,0.13248336,0.010124316
